Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
exaustive    | 11         | 12.5            | 1                | 1.3113021850585938e-05
greedy       | 11         | 25              | 4                | 8.559226989746094e-05
exaustive    | 11         | 25              | 1                | 1.3828277587890625e-05
greedy       | 11         | 50              | 5                | 0.00015020370483398438
exaustive    | 11         | 50              | 1                | 1.5974044799804688e-05
greedy       | 11         | 75              | 5                | 0.00010538101196289062
exaustive    | 11         | 75              | 1                | 2.3603439331054688e-05
greedy       | 12         | 12.5            | 4                | 4.220008850097656e-05
exaustive    | 12         | 12.5            | 1                | 1.3589859008789062e-05
greedy       | 12         | 25              | 6                | 7.510185241699219e-05
exaustive    | 12         | 25              | 1                | 2.2411346435546875e-05
greedy       | 12         | 50              | 6                | 0.00011110305786132812
exaustive    | 12         | 50              | 1                | 2.4318695068359375e-05
greedy       | 12         | 75              | 6                | 0.00014352798461914062
exaustive    | 12         | 75              | 1                | 1.811981201171875e-05
greedy       | 13         | 12.5            | 6                | 9.322166442871094e-05
exaustive    | 13         | 12.5            | 1                | 1.4781951904296875e-05
greedy       | 13         | 25              | 5                | 0.00010585784912109375
exaustive    | 13         | 25              | 1                | 1.5497207641601562e-05
greedy       | 13         | 50              | 6                | 0.00023818016052246094
exaustive    | 13         | 50              | 1                | 2.47955322265625e-05
greedy       | 13         | 75              | 6                | 0.0004048347473144531
exaustive    | 13         | 75              | 1                | 1.8358230590820312e-05
greedy       | 14         | 12.5            | 6                | 7.82012939453125e-05
exaustive    | 14         | 12.5            | 1                | 1.430511474609375e-05
greedy       | 14         | 25              | 6                | 9.417533874511719e-05
exaustive    | 14         | 25              | 1                | 1.5497207641601562e-05
greedy       | 14         | 50              | 7                |  0.00016021728515625
exaustive    | 14         | 50              | 1                | 1.8835067749023438e-05
greedy       | 14         | 75              | 7                | 0.0002930164337158203
exaustive    | 14         | 75              | 1                | 2.384185791015625e-05
greedy       | 15         | 12.5            | 6                | 6.67572021484375e-05
exaustive    | 15         | 12.5            | 1                | 2.1457672119140625e-05
greedy       | 15         | 25              | 6                | 0.00010538101196289062
exaustive    | 15         | 25              | 1                | 2.1696090698242188e-05
greedy       | 15         | 50              | 6                | 0.00030875205993652344
exaustive    | 15         | 50              | 1                | 1.811981201171875e-05
greedy       | 15         | 75              | 7                | 0.0003876686096191406
exaustive    | 15         | 75              | 1                | 2.1219253540039062e-05
greedy       | 16         | 12.5            | 7                | 0.00019288063049316406
exaustive    | 16         | 12.5            | 1                | 1.71661376953125e-05
greedy       | 16         | 25              | 7                | 0.00019669532775878906
exaustive    | 16         | 25              | 1                | 2.2172927856445312e-05
greedy       | 16         | 50              | 7                | 0.0002117156982421875
exaustive    | 16         | 50              | 1                | 1.8596649169921875e-05
greedy       | 16         | 75              | 7                | 0.0003390312194824219
exaustive    | 16         | 75              | 1                | 2.4318695068359375e-05
greedy       | 17         | 12.5            | 7                | 9.489059448242188e-05
exaustive    | 17         | 12.5            | 1                | 2.193450927734375e-05
greedy       | 17         | 25              | 8                | 0.00019788742065429688
exaustive    | 17         | 25              | 1                | 1.5020370483398438e-05
greedy       | 17         | 50              | 8                | 0.0006902217864990234
exaustive    | 17         | 50              | 1                | 3.528594970703125e-05
greedy       | 17         | 75              | 8                | 0.0005965232849121094
exaustive    | 17         | 75              | 1                | 4.458427429199219e-05
greedy       | 18         | 12.5            | 7                | 9.942054748535156e-05
exaustive    | 18         | 12.5            | 1                | 1.4781951904296875e-05
greedy       | 18         | 25              | 7                | 0.000270843505859375
exaustive    | 18         | 25              | 1                | 1.6689300537109375e-05
greedy       | 18         | 50              | 9                | 0.00045943260192871094
exaustive    | 18         | 50              | 1                |  3.4332275390625e-05
