Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
greedy       | 5          | 25              | 1                | 1.5974044799804688e-05
exaustive    | 5          | 25              | 2                | 3.314018249511719e-05
greedy       | 5          | 50              | 1                | 1.811981201171875e-05
exaustive    | 5          | 50              | 1                | 4.124641418457031e-05
greedy       | 5          | 75              | 2                | 2.4557113647460938e-05
exaustive    | 5          | 75              | 1                |  3.4332275390625e-05
greedy       | 6          | 12.5            | 2                | 2.3126602172851562e-05
exaustive    | 6          | 12.5            | 1                | 3.314018249511719e-05
greedy       | 6          | 25              | 2                | 2.3126602172851562e-05
exaustive    | 6          | 25              | 1                | 3.075599670410156e-05
greedy       | 6          | 50              | 2                | 2.9087066650390625e-05
exaustive    | 6          | 50              | 1                | 3.266334533691406e-05
greedy       | 6          | 75              | 2                | 3.0994415283203125e-05
exaustive    | 6          | 75              | 1                | 3.504753112792969e-05
greedy       | 7          | 12.5            | 2                | 3.743171691894531e-05
exaustive    | 7          | 12.5            | 1                | 3.62396240234375e-05
greedy       | 7          | 25              | 3                | 2.8848648071289062e-05
exaustive    | 7          | 25              | 1                | 3.2901763916015625e-05
greedy       | 7          | 50              | 3                | 3.409385681152344e-05
exaustive    | 7          | 50              | 1                | 3.24249267578125e-05
greedy       | 7          | 75              | 3                | 0.00011301040649414062
exaustive    | 7          | 75              | 1                | 3.314018249511719e-05
greedy       | 8          | 12.5            | 2                | 2.5987625122070312e-05
exaustive    | 8          | 12.5            | 1                | 2.9087066650390625e-05
greedy       | 8          | 25              | 3                | 2.8371810913085938e-05
exaustive    | 8          | 25              | 1                | 2.8848648071289062e-05
greedy       | 8          | 50              | 4                | 5.8650970458984375e-05
exaustive    | 8          | 50              | 1                | 3.337860107421875e-05
greedy       | 8          | 75              | 3                | 5.316734313964844e-05
exaustive    | 8          | 75              | 1                | 3.24249267578125e-05
greedy       | 9          | 12.5            | 3                | 5.7697296142578125e-05
exaustive    | 9          | 12.5            | 1                | 3.552436828613281e-05
greedy       | 9          | 25              | 4                | 4.00543212890625e-05
exaustive    | 9          | 25              | 1                | 3.123283386230469e-05
greedy       | 9          | 50              | 4                | 5.0067901611328125e-05
exaustive    | 9          | 50              | 1                | 3.075599670410156e-05
greedy       | 9          | 75              | 4                | 6.389617919921875e-05
exaustive    | 9          | 75              | 1                | 3.2901763916015625e-05
greedy       | 10         | 12.5            | 4                | 3.9577484130859375e-05
exaustive    | 10         | 12.5            | 1                | 2.9802322387695312e-05
greedy       | 10         | 25              | 4                | 4.1484832763671875e-05
exaustive    | 10         | 25              | 1                | 3.337860107421875e-05
greedy       | 10         | 50              | 4                | 5.650520324707031e-05
exaustive    | 10         | 50              | 1                | 2.86102294921875e-05
greedy       | 10         | 75              | 5                | 9.036064147949219e-05
exaustive    | 10         | 75              | 1                | 3.218650817871094e-05
greedy       | 11         | 12.5            | 4                | 4.553794860839844e-05
exaustive    | 11         | 12.5            | 1                | 2.86102294921875e-05
greedy       | 11         | 25              | 4                | 5.125999450683594e-05
exaustive    | 11         | 25              | 1                | 3.170967102050781e-05
greedy       | 11         | 50              | 5                | 8.440017700195312e-05
exaustive    | 11         | 50              | 1                | 3.075599670410156e-05
greedy       | 11         | 75              | 5                | 0.0001087188720703125
exaustive    | 11         | 75              | 1                | 3.24249267578125e-05
greedy       | 12         | 12.5            | 4                | 4.2438507080078125e-05
exaustive    | 12         | 12.5            | 1                | 2.9087066650390625e-05
greedy       | 12         | 25              | 6                |  7.2479248046875e-05
exaustive    | 12         | 25              | 1                | 3.552436828613281e-05
greedy       | 12         | 50              | 6                | 0.00010943412780761719
exaustive    | 12         | 50              | 1                | 4.38690185546875e-05
greedy       | 12         | 75              | 6                | 0.0001957416534423828
exaustive    | 12         | 75              | 1                | 3.647804260253906e-05
greedy       | 13         | 12.5            | 6                |   6.866455078125e-05
greedy       | 4          | 12.5            | 1                | 1.0967254638671875e-05
exaustive    | 4          | 12.5            | 2                | 8.320808410644531e-05
greedy       | 4          | 25              | 1                | 1.3113021850585938e-05
exaustive    | 4          | 25              | 1                | 4.410743713378906e-05
greedy       | 4          | 50              | 1                | 1.3113021850585938e-05
exaustive    | 4          | 50              | 2                | 3.647804260253906e-05
greedy       | 4          | 75              | 1                | 1.2874603271484375e-05
exaustive    | 4          | 75              | 2                | 6.031990051269531e-05
greedy       | 5          | 12.5            | 2                | 1.71661376953125e-05
exaustive    | 5          | 12.5            | 1                | 5.173683166503906e-05
greedy       | 5          | 25              | 1                | 1.430511474609375e-05
exaustive    | 5          | 25              | 2                | 4.220008850097656e-05
greedy       | 5          | 50              | 1                | 2.956390380859375e-05
exaustive    | 5          | 50              | 1                |   3.814697265625e-05
greedy       | 5          | 75              | 2                | 2.1457672119140625e-05
exaustive    | 5          | 75              | 1                | 3.743171691894531e-05
greedy       | 6          | 12.5            | 2                | 3.314018249511719e-05
exaustive    | 6          | 12.5            | 1                | 3.1948089599609375e-05
greedy       | 6          | 25              | 2                | 1.811981201171875e-05
exaustive    | 6          | 25              | 1                | 3.552436828613281e-05
greedy       | 6          | 50              | 2                | 2.4318695068359375e-05
exaustive    | 6          | 50              | 1                | 3.600120544433594e-05
greedy       | 4          | 12.5            | 1                | 1.2159347534179688e-05
exaustive    | 4          | 12.5            | 1                | 5.698204040527344e-05
greedy       | 4          | 25              | 1                | 2.0265579223632812e-05
exaustive    | 4          | 25              | 2                | 3.457069396972656e-05
greedy       | 4          | 50              | 1                | 1.2636184692382812e-05
exaustive    | 4          | 50              | 1                | 3.457069396972656e-05
greedy       | 4          | 75              | 1                | 1.4066696166992188e-05
exaustive    | 4          | 75              | 1                | 3.933906555175781e-05
greedy       | 5          | 12.5            | 2                | 1.7642974853515625e-05
exaustive    | 5          | 12.5            | 6                | 5.221366882324219e-05
greedy       | 5          | 25              | 1                | 1.3589859008789062e-05
exaustive    | 5          | 25              | 1                | 3.170967102050781e-05
greedy       | 5          | 50              | 1                | 1.3828277587890625e-05
exaustive    | 5          | 50              | 2                | 3.790855407714844e-05
greedy       | 5          | 75              | 2                | 2.1219253540039062e-05
exaustive    | 5          | 75              | 14               | 6.604194641113281e-05
greedy       | 6          | 12.5            | 2                | 2.3126602172851562e-05
exaustive    | 6          | 12.5            | 11               | 5.53131103515625e-05
greedy       | 6          | 25              | 2                | 2.9087066650390625e-05
exaustive    | 6          | 25              | 19               | 7.700920104980469e-05
greedy       | 6          | 50              | 2                | 2.1696090698242188e-05
exaustive    | 6          | 50              | 18               | 8.20159912109375e-05
greedy       | 6          | 75              | 2                | 2.5510787963867188e-05
exaustive    | 6          | 75              | 27               | 0.00011372566223144531
greedy       | 7          | 12.5            | 2                | 5.91278076171875e-05
exaustive    | 7          | 12.5            | 8                | 6.270408630371094e-05
greedy       | 7          | 25              | 3                | 3.647804260253906e-05
exaustive    | 7          | 25              | 54               | 0.00014257431030273438
greedy       | 7          | 50              | 3                | 2.86102294921875e-05
exaustive    | 7          | 50              | 42               | 0.00014591217041015625
greedy       | 7          | 75              | 3                | 3.528594970703125e-05
exaustive    | 7          | 75              | 289              | 0.0009708404541015625
greedy       | 8          | 12.5            | 2                | 2.3365020751953125e-05
exaustive    | 8          | 12.5            | 15               | 6.937980651855469e-05
greedy       | 8          | 25              | 3                | 2.6464462280273438e-05
exaustive    | 8          | 25              | 58               | 0.00019359588623046875
greedy       | 8          | 50              | 4                | 4.00543212890625e-05
exaustive    | 8          | 50              | 214              | 0.001481771469116211
greedy       | 8          | 75              | 3                | 4.315376281738281e-05
exaustive    | 8          | 75              | 894              |  0.00477910041809082
greedy       | 9          | 12.5            | 3                | 5.4836273193359375e-05
exaustive    | 9          | 12.5            | 42               | 0.00018286705017089844
greedy       | 9          | 25              | 4                | 3.5762786865234375e-05
exaustive    | 9          | 25              | 129              | 0.0005230903625488281
greedy       | 9          | 50              | 4                | 4.3392181396484375e-05
exaustive    | 9          | 50              | 759              | 0.002108335494995117
greedy       | 9          | 75              | 4                | 5.793571472167969e-05
exaustive    | 9          | 75              | 2274             |  0.01577305793762207
greedy       | 10         | 12.5            | 4                | 6.914138793945312e-05
exaustive    | 10         | 12.5            | 219              | 0.0010097026824951172
greedy       | 10         | 25              | 4                | 3.719329833984375e-05
exaustive    | 10         | 25              | 208              | 0.0007410049438476562
greedy       | 10         | 50              | 4                | 5.412101745605469e-05
exaustive    | 10         | 50              | 2917             |  0.01775050163269043
greedy       | 10         | 75              | 5                | 0.0001049041748046875
exaustive    | 10         | 75              | 35428            |   0.4141044616699219
greedy       | 11         | 12.5            | 4                | 6.961822509765625e-05
exaustive    | 11         | 12.5            | 848              | 0.0037648677825927734
greedy       | 11         | 25              | 4                | 7.224082946777344e-05
exaustive    | 11         | 25              | 676              | 0.0038106441497802734
greedy       | 11         | 50              | 5                | 7.843971252441406e-05
exaustive    | 11         | 50              | 12800            |  0.07930731773376465
greedy       | 11         | 75              | 5                | 0.00010752677917480469
exaustive    | 11         | 75              | 61161            |   0.9104597568511963
greedy       | 12         | 12.5            | 4                | 0.00010442733764648438
exaustive    | 12         | 12.5            | 704              |  0.00255584716796875
greedy       | 12         | 25              | 6                | 7.414817810058594e-05
exaustive    | 12         | 25              | 3236             | 0.010605335235595703
greedy       | 12         | 50              | 6                | 0.0002689361572265625
exaustive    | 12         | 50              | 31789            |  0.44807887077331543
greedy       | 4          | 12.5            | 1                | 1.621246337890625e-05
exaustive    | 4          | 12.5            | 1                | 1.1920928955078125e-05
greedy       | 4          | 25              | 1                | 2.384185791015625e-05
exaustive    | 4          | 25              | 2                | 1.2874603271484375e-05
greedy       | 4          | 50              | 1                | 1.4781951904296875e-05
exaustive    | 4          | 50              | 1                |    1.52587890625e-05
greedy       | 4          | 75              | 1                | 1.5020370483398438e-05
exaustive    | 4          | 75              | 1                | 1.2874603271484375e-05
greedy       | 5          | 12.5            | 2                | 1.9550323486328125e-05
exaustive    | 5          | 12.5            | 6                | 1.6450881958007812e-05
greedy       | 5          | 25              | 1                | 1.5497207641601562e-05
exaustive    | 5          | 25              | 1                | 1.430511474609375e-05
greedy       | 5          | 50              | 1                | 1.6689300537109375e-05
exaustive    | 5          | 50              | 2                | 1.2636184692382812e-05
greedy       | 5          | 75              | 2                | 2.47955322265625e-05
exaustive    | 5          | 75              | 14               | 2.5272369384765625e-05
greedy       | 6          | 12.5            | 2                |   2.288818359375e-05
exaustive    | 6          | 12.5            | 11               | 2.09808349609375e-05
greedy       | 6          | 25              | 2                | 2.3126602172851562e-05
exaustive    | 6          | 25              | 19               | 2.47955322265625e-05
greedy       | 6          | 50              | 2                | 2.6226043701171875e-05
exaustive    | 6          | 50              | 18               | 2.9087066650390625e-05
greedy       | 6          | 75              | 2                | 4.220008850097656e-05
exaustive    | 6          | 75              | 27               | 3.886222839355469e-05
greedy       | 7          | 12.5            | 2                | 2.2649765014648438e-05
exaustive    | 7          | 12.5            | 8                | 1.811981201171875e-05
greedy       | 7          | 25              | 3                | 2.8133392333984375e-05
exaustive    | 7          | 25              | 54               | 4.863739013671875e-05
greedy       | 7          | 50              | 3                | 3.266334533691406e-05
exaustive    | 7          | 50              | 42               | 5.316734313964844e-05
greedy       | 7          | 75              | 3                | 3.8623809814453125e-05
exaustive    | 7          | 75              | 289              | 0.0003533363342285156
greedy       | 8          | 12.5            | 2                | 3.695487976074219e-05
exaustive    | 8          | 12.5            | 15               |   2.288818359375e-05
greedy       | 8          | 25              | 3                | 2.574920654296875e-05
exaustive    | 8          | 25              | 58               | 5.3882598876953125e-05
greedy       | 8          | 50              | 4                | 4.029273986816406e-05
exaustive    | 8          | 50              | 214              | 0.00028967857360839844
greedy       | 8          | 75              | 3                | 5.626678466796875e-05
exaustive    | 8          | 75              | 894              | 0.0015566349029541016
greedy       | 9          | 12.5            | 3                | 3.8623809814453125e-05
exaustive    | 9          | 12.5            | 42               | 4.553794860839844e-05
greedy       | 9          | 25              | 4                | 3.933906555175781e-05
exaustive    | 9          | 25              | 129              | 0.00012230873107910156
greedy       | 9          | 50              | 4                | 0.00011301040649414062
exaustive    | 9          | 50              | 759              | 0.0011878013610839844
greedy       | 9          | 75              | 4                |  6.4849853515625e-05
exaustive    | 9          | 75              | 2274             |  0.00577092170715332
greedy       | 10         | 12.5            | 4                | 6.651878356933594e-05
exaustive    | 10         | 12.5            | 219              | 0.00017952919006347656
greedy       | 10         | 25              | 4                | 3.886222839355469e-05
exaustive    | 10         | 25              | 208              | 0.00024390220642089844
greedy       | 10         | 50              | 4                | 8.726119995117188e-05
exaustive    | 10         | 50              | 2917             | 0.004151105880737305
greedy       | 10         | 75              | 5                | 0.00013518333435058594
exaustive    | 10         | 75              | 35428            |  0.07847261428833008
greedy       | 11         | 12.5            | 4                | 5.936622619628906e-05
exaustive    | 11         | 12.5            | 848              | 0.0006856918334960938
greedy       | 11         | 25              | 4                | 8.749961853027344e-05
exaustive    | 11         | 25              | 676              | 0.0009748935699462891
greedy       | 11         | 50              | 5                | 0.0001704692840576172
exaustive    | 11         | 50              | 12800            |  0.04560232162475586
greedy       | 11         | 75              | 5                | 0.00010585784912109375
exaustive    | 11         | 75              | 61161            |  0.14566564559936523
greedy       | 12         | 12.5            | 4                | 0.000118255615234375
exaustive    | 12         | 12.5            | 704              | 0.0008845329284667969
greedy       | 12         | 25              | 6                | 0.00016760826110839844
exaustive    | 12         | 25              | 3236             | 0.009076118469238281
greedy       | 12         | 50              | 6                | 0.00023794174194335938
exaustive    | 12         | 50              | 31789            |  0.07312774658203125
greedy       | 12         | 75              | 6                | 0.0001385211944580078
exaustive    | 12         | 75              | 1041095          |   2.8174686431884766
greedy       | 13         | 12.5            | 6                | 0.00010800361633300781
exaustive    | 13         | 12.5            | 1168             | 0.0011036396026611328
greedy       | 13         | 25              | 5                | 0.00012731552124023438
exaustive    | 13         | 25              | 6404             | 0.008750200271606445
greedy       | 13         | 50              | 6                | 0.0001354217529296875
exaustive    | 13         | 50              | 378122           |   0.8570773601531982
greedy       | 13         | 75              | 6                | 0.00018358230590820312
exaustive    | 13         | 75              | 3255902          |    9.749309062957764
greedy       | 14         | 12.5            | 6                |  0.00011444091796875
exaustive    | 14         | 12.5            | 2895             | 0.005292415618896484
greedy       | 14         | 25              | 6                | 0.00017380714416503906
exaustive    | 14         | 25              | 10450            | 0.015882253646850586
greedy       | 14         | 50              | 7                | 0.00014519691467285156
exaustive    | 14         | 50              | 4023356          |    9.751784801483154
greedy       | 14         | 75              | 7                | 0.00021982192993164062
greedy       | 4          | 12.5            | 1                | 1.1205673217773438e-05
exaustive    | 4          | 12.5            | 1                | 1.0967254638671875e-05
greedy       | 4          | 25              | 1                | 1.6927719116210938e-05
exaustive    | 4          | 25              | 2                | 1.9788742065429688e-05
greedy       | 4          | 50              | 1                | 1.9311904907226562e-05
exaustive    | 4          | 50              | 1                | 1.33514404296875e-05
greedy       | 4          | 75              | 1                | 1.4066696166992188e-05
exaustive    | 4          | 75              | 1                | 1.3113021850585938e-05
greedy       | 5          | 12.5            | 2                | 1.811981201171875e-05
exaustive    | 5          | 12.5            | 6                | 1.621246337890625e-05
greedy       | 5          | 25              | 1                | 2.4080276489257812e-05
exaustive    | 5          | 25              | 1                | 1.33514404296875e-05
greedy       | 5          | 50              | 1                | 2.47955322265625e-05
exaustive    | 5          | 50              | 2                | 1.2159347534179688e-05
greedy       | 5          | 75              | 2                | 2.2649765014648438e-05
exaustive    | 5          | 75              | 14               | 2.2649765014648438e-05
greedy       | 6          | 12.5            | 2                | 2.0503997802734375e-05
exaustive    | 6          | 12.5            | 11               | 1.8835067749023438e-05
greedy       | 6          | 25              | 2                | 2.1457672119140625e-05
exaustive    | 6          | 25              | 19               | 2.3603439331054688e-05
greedy       | 6          | 50              | 2                | 2.3365020751953125e-05
exaustive    | 6          | 50              | 18               | 6.318092346191406e-05
greedy       | 6          | 75              | 2                |  2.6702880859375e-05
exaustive    | 6          | 75              | 27               | 8.320808410644531e-05
greedy       | 7          | 12.5            | 2                | 2.0742416381835938e-05
exaustive    | 7          | 12.5            | 8                | 1.5974044799804688e-05
greedy       | 7          | 25              | 3                | 5.507469177246094e-05
exaustive    | 7          | 25              | 54               | 4.315376281738281e-05
greedy       | 7          | 50              | 3                | 5.030632019042969e-05
exaustive    | 7          | 50              | 42               | 4.673004150390625e-05
greedy       | 7          | 75              | 3                | 5.1975250244140625e-05
exaustive    | 7          | 75              | 289              | 0.0003063678741455078
greedy       | 8          | 12.5            | 2                | 2.1696090698242188e-05
exaustive    | 8          | 12.5            | 15               | 2.4080276489257812e-05
greedy       | 8          | 25              | 3                | 2.6941299438476562e-05
greedy       | 4          | 12.5            | 1                | 1.1682510375976562e-05
exaustive    | 4          | 12.5            | 2                | 1.3589859008789062e-05
greedy       | 4          | 12.5            | 1                | 1.1682510375976562e-05
exaustive    | 4          | 12.5            | 1                | 1.0251998901367188e-05
greedy       | 4          | 25              | 1                | 1.4543533325195312e-05
exaustive    | 4          | 25              | 2                | 1.2159347534179688e-05
greedy       | 4          | 50              | 1                | 2.6941299438476562e-05
exaustive    | 4          | 50              | 1                | 1.1205673217773438e-05
greedy       | 4          | 75              | 1                | 1.9788742065429688e-05
exaustive    | 4          | 75              | 1                | 1.1205673217773438e-05
greedy       | 5          | 12.5            | 2                |  1.9073486328125e-05
exaustive    | 5          | 12.5            | 6                | 1.621246337890625e-05
greedy       | 5          | 25              | 1                | 1.5735626220703125e-05
exaustive    | 5          | 25              | 1                | 1.0728836059570312e-05
greedy       | 5          | 50              | 1                | 1.621246337890625e-05
exaustive    | 5          | 50              | 2                | 1.3113021850585938e-05
greedy       | 5          | 75              | 2                | 2.193450927734375e-05
exaustive    | 5          | 75              | 14               | 2.384185791015625e-05
greedy       | 6          | 12.5            | 2                | 2.0265579223632812e-05
exaustive    | 6          | 12.5            | 11               | 3.4809112548828125e-05
greedy       | 6          | 25              | 2                | 1.9550323486328125e-05
exaustive    | 6          | 25              | 19               | 4.458427429199219e-05
greedy       | 6          | 50              | 2                | 3.337860107421875e-05
exaustive    | 6          | 50              | 18               | 2.6464462280273438e-05
greedy       | 6          | 75              | 2                | 6.318092346191406e-05
exaustive    | 6          | 75              | 27               | 5.555152893066406e-05
greedy       | 7          | 12.5            | 2                | 2.574920654296875e-05
exaustive    | 7          | 12.5            | 8                | 1.6689300537109375e-05
greedy       | 7          | 25              | 3                | 4.0531158447265625e-05
exaustive    | 7          | 25              | 54               | 0.00016045570373535156
greedy       | 7          | 50              | 3                | 6.508827209472656e-05
exaustive    | 7          | 50              | 42               | 5.054473876953125e-05
greedy       | 7          | 75              | 3                | 3.8623809814453125e-05
exaustive    | 7          | 75              | 289              | 0.00031495094299316406
greedy       | 4          | 12.5            | 1                |    1.52587890625e-05
exaustive    | 4          | 12.5            | 1                |  1.1444091796875e-05
greedy       | 4          | 25              | 1                | 4.172325134277344e-05
exaustive    | 4          | 25              | 2                |  1.9073486328125e-05
greedy       | 4          | 50              | 1                | 1.9788742065429688e-05
exaustive    | 4          | 50              | 1                | 1.4543533325195312e-05
greedy       | 4          | 75              | 2                | 2.8133392333984375e-05
exaustive    | 4          | 75              | 6                | 1.811981201171875e-05
greedy       | 5          | 12.5            | 1                | 1.4066696166992188e-05
exaustive    | 5          | 12.5            | 1                | 1.2159347534179688e-05
greedy       | 5          | 25              | 2                | 1.9550323486328125e-05
exaustive    | 5          | 25              | 8                | 1.6927719116210938e-05
greedy       | 5          | 50              | 2                | 3.0040740966796875e-05
exaustive    | 5          | 50              | 11               | 6.699562072753906e-05
greedy       | 5          | 75              | 2                | 3.838539123535156e-05
exaustive    | 5          | 75              | 18               | 2.7179718017578125e-05
greedy       | 6          | 12.5            | 2                | 2.1219253540039062e-05
exaustive    | 6          | 12.5            | 9                | 1.6689300537109375e-05
greedy       | 6          | 25              | 2                | 4.220008850097656e-05
exaustive    | 6          | 25              | 15               | 2.1219253540039062e-05
greedy       | 6          | 50              | 2                | 2.3126602172851562e-05
exaustive    | 6          | 50              | 18               | 2.7418136596679688e-05
greedy       | 6          | 75              | 3                | 2.9802322387695312e-05
exaustive    | 6          | 75              | 27               | 3.504753112792969e-05
greedy       | 7          | 12.5            | 2                | 4.124641418457031e-05
exaustive    | 7          | 12.5            | 12               | 2.9325485229492188e-05
greedy       | 7          | 25              | 3                | 2.7418136596679688e-05
exaustive    | 7          | 25              | 14               | 2.1457672119140625e-05
greedy       | 7          | 50              | 3                |    4.57763671875e-05
exaustive    | 7          | 50              | 22               | 7.104873657226562e-05
